Translated,Collection
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--payment action- - detinue--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--summons action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--writ of execution--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--wage collection--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--writ of execution--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--writ of execution--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--statute of limitation--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--writ of execution--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--eviction action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--mortgage--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--despejo--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--despejo--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--status of limitation--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--action for debt--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--debt rehabilitation--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--writ of execution--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--Court authorization--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--writ of execution--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--writ of execution--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--writ of execution--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debt--debt collection--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--dents--detinue--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--eviction action--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--testament--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--evaluation of assets--Brazil--History--20th centurys,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--testament--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--testament--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--Enrollment--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--distribution of state settlement--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--distribution of state settlement--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--distribution od state settlement--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--distribution od state settlement--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--Enrollment--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--declaration--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--declaration--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--petition--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--ordinance--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--distribution os state settlement--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--distribution of state settlement--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--distribution of state settlement--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--distribution of state settlement--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--distribution of state settlement--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--distribution of state settlement--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--enrollment--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--enrollment--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--testament--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--ordinance--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--ordinance--inventory--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--testament--Brazil--History--20th century,Obidos Court Records metadata
Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--succession--testament--inventory--Brazil--History--20th century,Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--embargo--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--ordinary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--payment petition--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--execution act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--payment petition--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--payment petition--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--payment petition--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--payment petition--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--payment petition--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts --payment petition--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--payment petition--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--license act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--license act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--license act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--license act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--payment petition--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--debts--proceedings--executive warrant--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--dents--deposit act-- Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--payment petition--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--writ of execution--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--summary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--ordinary act--Brazil--History--20th century |~|Religions--Indigenous religions--Lowland South American religions|~|Health sciences--Medicine--Traditional medicine--healing--shamans|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--ordinary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--sentence execution--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--summary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--embargo--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings-- debts--appraisal--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--summary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--justification act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--mortgage--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--mortgage--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--ordinary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--summary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--executive act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--deposit act-- Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--collection suit records--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--ordinary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--commercial common proceeding--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts - mortgage--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--writ of entry--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts --warrant act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--accountability--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--summary action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--summary action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--judicial sale--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--ordinary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--common proceeding--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--assignment act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--ordinary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--ordinary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--summary action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--ordinary action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--summary action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--summary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--summary action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--accountability--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--summary action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--summary action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--payment petition--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--ordinary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--commercial ordinary act--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
"Amazonians--trials--judicial events--Brazil--History--20th century|~|Amazonians--legal documents--proceedings--debts--executive action--Brazil--History--20th century|~|Óbidos, Pará, Brazil, South America",Obidos Court Records metadata
